Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
58,Exit short,2026-08-14 01:14,Short X,4416.4,1,44068,-97.24,-0.22,1.24,18.38,0.04,-96.62,-0.22,1399.08,0.14,6
58,Entry short,2026-08-14 01:02,Short,4406.8,1,44068,-97.24,-0.22,1.24,18.38,0.04,-96.62,-0.22,1399.08,0.14,6
59,Exit long,2026-08-14 02:12,Long X,4406.2,1,44186,-125.24,-0.28,1.24,9.38,0.02,-124.62,-0.28,1273.84,0.13,22
59,Entry long,2026-08-14 01:28,Long,4418.6,1,44186,-125.24,-0.28,1.24,9.38,0.02,-124.62,-0.28,1273.84,0.13,22
60,Exit short,2026-08-14 02:16,Short X,4403.6,1,44069,31.76,0.07,1.24,32.38,0.07,-22.62,-0.05,1305.6,0.13,2
60,Entry short,2026-08-14 02:12,Short,4406.9,1,44069,31.76,0.07,1.24,32.38,0.07,-22.62,-0.05,1305.6,0.13,2
61,Exit long,2026-08-19 02:12,Long X,4395.8,1,43929,27.76,0.06,1.24,28.38,0.06,-49.62,-0.11,1333.36,0.13,5
61,Entry long,2026-08-19 02:02,Long,4392.9,1,43929,27.76,0.06,1.24,28.38,0.06,-49.62,-0.11,1333.36,0.13,5
62,Exit short,2026-08-19 03:02,Short X,4380,1,43840,38.76,0.09,1.24,39.38,0.09,-12.62,-0.03,1372.12,0.14,1
62,Entry short,2026-08-19 03:00,Short,4384,1,43840,38.76,0.09,1.24,39.38,0.09,-12.62,-0.03,1372.12,0.14,1
63,Exit long,2026-08-19 03:38,Long X,4407.7,1,44025,50.76,0.12,1.24,51.38,0.12,-4.62,-0.01,1422.88,0.14,3
63,Entry long,2026-08-19 03:32,Long,4402.5,1,44025,50.76,0.12,1.24,51.38,0.12,-4.62,-0.01,1422.88,0.14,3
64,Exit short,2026-08-19 20:22,Short X,4539.7,1,45430,31.76,0.07,1.24,32.38,0.07,-119.62,-0.26,1454.64,0.15,26
64,Entry short,2026-08-19 19:30,Short,4543,1,45430,31.76,0.07,1.24,32.38,0.07,-119.62,-0.26,1454.64,0.15,26
65,Exit long,2026-08-19 20:52,Long X,4553,1,45483,45.76,0.10,1.24,46.38,0.10,-14.62,-0.03,1500.4,0.15,6
65,Entry long,2026-08-19 20:40,Long,4548.3,1,45483,45.76,0.10,1.24,46.38,0.10,-14.62,-0.03,1500.4,0.15,6
66,Exit long,2026-08-21 01:12,Long X,4587.4,1,45854,18.76,0.04,1.24,19.38,0.04,-47.62,-0.10,1519.16,0.15,5
66,Entry long,2026-08-21 01:02,Long,4585.4,1,45854,18.76,0.04,1.24,19.38,0.04,-47.62,-0.10,1519.16,0.15,5
