Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
218,Entry long,2026-08-27 08:14,LS,29421.75,2,117687,81.76,0.07,1.24,82.38,0.07,-8.62,-0.01,-4703.32,-0.47,1
219,Exit short,2026-08-27 10:36,TP,29623,2,118568,74.76,0.06,1.24,75.38,0.06,-21.62,-0.02,-4628.56,-0.46,5
219,Entry short,2026-08-27 10:31,LS,29642,2,118568,74.76,0.06,1.24,75.38,0.06,-21.62,-0.02,-4628.56,-0.46,5
220,Exit long,2026-08-27 15:41,TP,29539,2,117961,193.76,0.16,1.24,194.38,0.16,-11.62,-0.01,-4434.8,-0.44,1
220,Entry long,2026-08-27 15:40,LS,29490.25,2,117961,193.76,0.16,1.24,194.38,0.16,-11.62,-0.01,-4434.8,-0.44,1
221,Exit short,2026-08-27 19:08,SL,29669.25,2,118626,-52.24,-0.04,1.24,34.38,0.03,-51.62,-0.04,-4487.04,-0.45,2
221,Entry short,2026-08-27 19:06,LS,29656.5,2,118626,-52.24,-0.04,1.24,34.38,0.03,-51.62,-0.04,-4487.04,-0.45,2
222,Exit short,2026-08-27 19:44,TP,29627,2,118613,103.76,0.09,1.24,104.38,0.09,-23.62,-0.02,-4383.28,-0.44,17
222,Entry short,2026-08-27 19:27,LS,29653.25,2,118613,103.76,0.09,1.24,104.38,0.09,-23.62,-0.02,-4383.28,-0.44,17
223,Exit long,2026-08-28 08:45,TP,29623.75,2,118430,63.76,0.05,1.24,64.38,0.05,-45.62,-0.04,-4319.52,-0.43,14
223,Entry long,2026-08-28 08:31,LS,29607.5,2,118430,63.76,0.05,1.24,64.38,0.05,-45.62,-0.04,-4319.52,-0.43,14
224,Exit long,2026-08-28 15:39,TP,29650.75,2,118424,177.76,0.15,1.24,178.38,0.15,-80.62,-0.07,-4141.76,-0.41,4
224,Entry long,2026-08-28 15:35,LS,29606,2,118424,177.76,0.15,1.24,178.38,0.15,-80.62,-0.07,-4141.76,-0.41,4
225,Exit short,2026-08-28 15:59,TP,29609.75,2,118630,189.76,0.16,1.24,190.38,0.16,-50.62,-0.04,-3952,-0.40,9
225,Entry short,2026-08-28 15:50,LS,29657.5,2,118630,189.76,0.16,1.24,190.38,0.16,-50.62,-0.04,-3952,-0.40,9
226,Exit short,2026-08-28 16:13,TP,29509.25,2,118436,397.76,0.34,1.24,398.38,0.34,-96.62,-0.08,-3554.24,-0.36,9
226,Entry short,2026-08-28 16:04,LS,29609,2,118436,397.76,0.34,1.24,398.38,0.34,-96.62,-0.08,-3554.24,-0.36,9
227,Exit short,2026-08-28 17:39,TP,29722,2,119070,180.76,0.15,1.24,181.38,0.15,-97.62,-0.08,-3373.48,-0.34,30
227,Entry short,2026-08-28 17:09,LS,29767.5,2,119070,180.76,0.15,1.24,181.38,0.15,-97.62,-0.08,-3373.48,-0.34,30
228,Exit short,2026-08-31 07:32,TP,29448.75,2,117854,57.76,0.05,1.24,58.38,0.05,-11.62,-0.01,-3315.72,-0.33,0
228,Entry short,2026-08-31 07:32,LS,29463.5,2,117854,57.76,0.05,1.24,58.38,0.05,-11.62,-0.01,-3315.72,-0.33,0
229,Exit long,2026-08-31 16:36,TP,29407.75,2,117521,108.76,0.09,1.24,109.38,0.09,-65.62,-0.06,-3206.96,-0.32,7
229,Entry long,2026-08-31 16:29,LS,29380.25,2,117521,108.76,0.09,1.24,109.38,0.09,-65.62,-0.06,-3206.96,-0.32,7
