Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
62,Entry long,2026-06-24 15:43,M3 Long,29635.75,1,59271.5,-2.24,0.00,1.24,157.88,0.27,-16.12,-0.03,2862.12,0.29,5
63,Exit long,2026-06-24 15:54,RCL TP,29789.25,1,59536,41.26,0.07,1.24,41.88,0.07,-55.62,-0.09,2903.38,0.29,3
63,Entry long,2026-06-24 15:51,Reclaim Long C2,29768,1,59536,41.26,0.07,1.24,41.88,0.07,-55.62,-0.09,2903.38,0.29,3
64,Exit long,2026-06-26 15:43,M3 TP,29349.25,1,58506.5,190.76,0.33,1.24,191.38,0.33,-5.12,-0.01,3094.14,0.31,2
64,Entry long,2026-06-26 15:41,M3 Long,29253.25,1,58506.5,190.76,0.33,1.24,191.38,0.33,-5.12,-0.01,3094.14,0.31,2
65,Exit long,2026-06-26 15:47,M1 TP,29349.25,1,58496.5,200.76,0.34,1.24,201.38,0.34,-24.62,-0.04,3294.9,0.33,2
65,Entry long,2026-06-26 15:45,M1 Long,29248.25,1,58496.5,200.76,0.34,1.24,201.38,0.34,-24.62,-0.04,3294.9,0.33,2
66,Exit short,2026-06-29 16:15,M4 TP,29320,1,59151.5,510.26,0.86,1.24,510.88,0.86,-84.12,-0.14,3805.16,0.38,15
66,Entry short,2026-06-29 16:00,M4 Short,29575.75,1,59151.5,510.26,0.86,1.24,510.88,0.86,-84.12,-0.14,3805.16,0.38,15
67,Exit short,2026-07-01 15:46,M4 SL,30193.25,1,60234.5,-153.24,-0.25,1.24,59.38,0.10,-152.62,-0.25,3651.92,0.37,12
67,Entry short,2026-07-01 15:34,M4 Short,30117.25,1,60234.5,-153.24,-0.25,1.24,59.38,0.10,-152.62,-0.25,3651.92,0.37,12
68,Exit long,2026-07-02 15:36,M3 Break-even Exit,30103.25,1,60207.5,-2.24,0.00,1.24,114.38,0.19,-2.62,0.00,3649.68,0.36,3
68,Entry long,2026-07-02 15:33,M3 Long,30103.75,1,60207.5,-2.24,0.00,1.24,114.38,0.19,-2.62,0.00,3649.68,0.36,3
69,Exit long,2026-07-02 15:51,M1 TP,30216,1,60224,206.76,0.34,1.24,207.38,0.34,-172.62,-0.29,3856.44,0.39,13
69,Entry long,2026-07-02 15:38,M1 Long,30112,1,60224,206.76,0.34,1.24,207.38,0.34,-172.62,-0.29,3856.44,0.39,13
70,Exit long,2026-07-03 15:34,M4 SL,29928,1,59897,-42.24,-0.07,1.24,14.38,0.02,-41.62,-0.07,3814.2,0.38,3
70,Entry long,2026-07-03 15:31,M4 Long,29948.5,1,59897,-42.24,-0.07,1.24,14.38,0.02,-41.62,-0.07,3814.2,0.38,3
71,Exit short,2026-07-03 16:15,RCL TP,29896.75,1,59835.5,40.76,0.07,1.24,41.38,0.07,-59.12,-0.10,3854.96,0.39,34
71,Entry short,2026-07-03 15:41,Reclaim Short C1,29917.75,1,59835.5,40.76,0.07,1.24,41.38,0.07,-59.12,-0.10,3854.96,0.39,34
72,Exit short,2026-07-06 15:37,M4 SL,29860.75,1,59654.5,-68.24,-0.11,1.24,0,0.00,-67.62,-0.11,3786.72,0.38,1
72,Entry short,2026-07-06 15:36,M4 Short,29827.25,1,59654.5,-68.24,-0.11,1.24,0,0.00,-67.62,-0.11,3786.72,0.38,1
73,Exit long,2026-07-07 15:30,M3 TP,29660.5,1,59188.5,131.26,0.22,1.24,131.88,0.22,-51.12,-0.09,3917.98,0.39,2
73,Entry long,2026-07-07 15:28,M3 Long,29594.25,1,59188.5,131.26,0.22,1.24,131.88,0.22,-51.12,-0.09,3917.98,0.39,2
74,Exit short,2026-07-07 15:41,M4 SL,29589.25,1,59064.5,-115.24,-0.20,1.24,81.88,0.14,-114.62,-0.19,3802.74,0.38,7
