Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
320,Exit long,2026-02-20 16:50,Long Bracket,25105.5,4,200612,230.76,0.12,1.24,231.38,0.12,-168.62,-0.08,15633.2,31.27,0
320,Entry long,2026-02-20 16:50,Long,25076.5,4,200612,230.76,0.12,1.24,231.38,0.12,-168.62,-0.08,15633.2,31.27,0
321,Exit short,2026-02-26 16:15,Short Bracket,25037,4,200532,234.76,0.12,1.24,235.38,0.12,-8.62,0.00,15867.96,31.74,0
321,Entry short,2026-02-26 16:15,Short,25066.5,4,200532,234.76,0.12,1.24,235.38,0.12,-8.62,0.00,15867.96,31.74,0
322,Exit short,2026-02-26 18:45,Short Bracket,24933.25,4,199706,238.76,0.12,1.24,239.38,0.12,-368.62,-0.18,16106.72,32.21,9
322,Entry short,2026-02-26 18:00,Short,24963.25,4,199706,238.76,0.12,1.24,239.38,0.12,-368.62,-0.18,16106.72,32.21,9
323,Exit short,2026-02-27 14:15,Short Bracket,24891.5,4,199366,232.76,0.12,1.24,233.38,0.12,-176.62,-0.09,16339.48,32.68,4
323,Entry short,2026-02-27 13:55,Short,24920.75,4,199366,232.76,0.12,1.24,233.38,0.12,-176.62,-0.09,16339.48,32.68,4
324,Exit long,2026-03-02 17:25,Long Bracket,24910.5,4,199826,-543.24,-0.27,1.24,77.38,0.04,-542.62,-0.27,15796.24,31.59,3
324,Entry long,2026-03-02 17:10,Long,24978.25,4,199826,-543.24,-0.27,1.24,77.38,0.04,-542.62,-0.27,15796.24,31.59,3
325,Exit short,2026-03-03 12:20,Short Bracket,24375.25,4,195248,244.76,0.13,1.24,245.38,0.13,-4.62,0.00,16041,32.08,0
325,Entry short,2026-03-03 12:20,Short,24406,4,195248,244.76,0.13,1.24,245.38,0.13,-4.62,0.00,16041,32.08,0
326,Exit long,2026-03-04 12:15,Long Bracket,24885,4,198850,228.76,0.12,1.24,229.38,0.12,-144.62,-0.07,16269.76,32.54,2
326,Entry long,2026-03-04 12:05,Long,24856.25,4,198850,228.76,0.12,1.24,229.38,0.12,-144.62,-0.07,16269.76,32.54,2
327,Exit long,2026-03-04 16:15,Long Bracket,25025,4,199964,234.76,0.12,1.24,235.38,0.12,-304.62,-0.15,16504.52,33.01,1
327,Entry long,2026-03-04 16:10,Long,24995.5,4,199964,234.76,0.12,1.24,235.38,0.12,-304.62,-0.15,16504.52,33.01,1
328,Exit long,2026-03-04 19:30,Long Bracket,25186.5,4,201256,234.76,0.12,1.24,235.38,0.12,-416.62,-0.21,16739.28,33.48,15
328,Entry long,2026-03-04 18:15,Long,25157,4,201256,234.76,0.12,1.24,235.38,0.12,-416.62,-0.21,16739.28,33.48,15
329,Exit short,2026-03-06 12:40,Short Bracket,24880.75,4,199288,240.76,0.12,1.24,241.38,0.12,-416.62,-0.21,16980.04,33.96,6
329,Entry short,2026-03-06 12:10,Short,24911,4,199288,240.76,0.12,1.24,241.38,0.12,-416.62,-0.21,16980.04,33.96,6
330,Exit short,2026-03-06 14:35,Short Bracket,24792.5,4,198572,230.76,0.12,1.24,231.38,0.12,-200.62,-0.10,17210.8,34.42,0
330,Entry short,2026-03-06 14:35,Short,24821.5,4,198572,230.76,0.12,1.24,231.38,0.12,-200.62,-0.10,17210.8,34.42,0
331,Exit long,2026-03-09 17:00,Long Bracket,24671.75,4,197146,226.76,0.12,1.24,227.38,0.12,-106.62,-0.05,17437.56,34.88,0
331,Entry long,2026-03-09 17:00,Long,24643.25,4,197146,226.76,0.12,1.24,227.38,0.12,-106.62,-0.05,17437.56,34.88,0
332,Exit long,2026-03-13 13:45,Long Bracket,24684,4,197234,236.76,0.12,1.24,237.38,0.12,-162.62,-0.08,17674.32,35.35,3
332,Entry long,2026-03-13 13:30,Long,24654.25,4,197234,236.76,0.12,1.24,237.38,0.12,-162.62,-0.08,17674.32,35.35,3
333,Exit long,2026-03-16 13:10,Long Bracket,24665,4,197086,232.76,0.12,1.24,233.38,0.12,-42.62,-0.02,17907.08,35.81,1
333,Entry long,2026-03-16 13:05,Long,24635.75,4,197086,232.76,0.12,1.24,233.38,0.12,-42.62,-0.02,17907.08,35.81,1
334,Exit long,2026-03-16 15:20,Long Bracket,24765.25,4,197876,244.76,0.12,1.24,245.38,0.12,-26.62,-0.01,18151.84,36.30,0
334,Entry long,2026-03-16 15:20,Long,24734.5,4,197876,244.76,0.12,1.24,245.38,0.12,-26.62,-0.01,18151.84,36.30,0
335,Exit long,2026-03-17 14:30,Long Bracket,25046,4,200128,238.76,0.12,1.24,239.38,0.12,-414.62,-0.21,18390.6,36.78,1
335,Entry long,2026-03-17 14:25,Long,25016,4,200128,238.76,0.12,1.24,239.38,0.12,-414.62,-0.21,18390.6,36.78,1
336,Exit short,2026-03-18 13:40,Short Bracket,24935,4,199718,236.76,0.12,1.24,237.38,0.12,-250.62,-0.13,18627.36,37.25,1
336,Entry short,2026-03-18 13:35,Short,24964.75,4,199718,236.76,0.12,1.24,237.38,0.12,-250.62,-0.13,18627.36,37.25,1
337,Exit short,2026-03-18 15:25,Short Bracket,24862,4,199134,236.76,0.12,1.24,237.38,0.12,-26.62,-0.01,18864.12,37.73,0
337,Entry short,2026-03-18 15:25,Short,24891.75,4,199134,236.76,0.12,1.24,237.38,0.12,-26.62,-0.01,18864.12,37.73,0
338,Exit short,2026-03-24 14:50,Short Bracket,24143.5,4,193428,278.76,0.14,1.24,279.38,0.14,-404.62,-0.21,19142.88,38.29,1
338,Entry short,2026-03-24 14:45,Short,24178.5,4,193428,278.76,0.14,1.24,279.38,0.14,-404.62,-0.21,19142.88,38.29,1
339,Exit short,2026-03-26 14:25,Short Bracket,24160.25,4,192740,-543.24,-0.28,1.24,155.38,0.08,-542.62,-0.28,18599.64,37.20,10
339,Entry short,2026-03-26 13:35,Short,24092.5,4,192740,-543.24,-0.28,1.24,155.38,0.08,-542.62,-0.28,18599.64,37.20,10
340,Exit short,2026-03-26 18:20,Short Bracket,23946,4,191810,240.76,0.13,1.24,241.38,0.13,-6.62,0.00,18840.4,37.68,0
340,Entry short,2026-03-26 18:20,Short,23976.25,4,191810,240.76,0.13,1.24,241.38,0.13,-6.62,0.00,18840.4,37.68,0
341,Exit short,2026-03-26 20:45,Short Bracket,23806.25,4,190690,238.76,0.13,1.24,239.38,0.13,-182.62,-0.10,19079.16,38.16,7
