Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
215,Exit long,2026-08-11 15:30,SL,29812.5,1,59664.5,-40.43,-0.07,0.93,27.19,0.05,-39.81,-0.07,3188.26,0.32,13
215,Entry long,2026-08-11 15:17,LONG,29832.25,1,59664.5,-40.43,-0.07,0.93,27.19,0.05,-39.81,-0.07,3188.26,0.32,13
216,Exit short,2026-08-12 16:31,TP MID,29847.5,1,59849,153.07,0.26,0.93,153.69,0.26,-6.31,-0.01,3341.02,0.33,3
216,Entry short,2026-08-12 16:28,SHORT,29924.5,1,59849,153.07,0.26,0.93,153.69,0.26,-6.31,-0.01,3341.02,0.33,3
217,Exit short,2026-08-12 18:22,TRAIL EXIT,29879.25,1,59849,89.57,0.15,0.93,211.19,0.35,-14.81,-0.02,3430.9,0.34,114
217,Entry short,2026-08-12 16:28,SHORT,29924.5,1,59849,89.57,0.15,0.93,211.19,0.35,-14.81,-0.02,3430.9,0.34,114
218,Exit short,2026-08-13 21:08,SL,30267.5,1,60431,-104.93,-0.17,0.93,222.69,0.37,-104.31,-0.17,3325.66,0.33,246
218,Entry short,2026-08-13 17:02,SHORT,30215.5,1,60431,-104.93,-0.17,0.93,222.69,0.37,-104.31,-0.17,3325.66,0.33,246
219,Exit short,2026-08-13 21:08,SL,30267.5,1,60431,-104.93,-0.17,0.93,222.69,0.37,-104.31,-0.17,3221.04,0.32,246
219,Entry short,2026-08-13 17:02,SHORT,30215.5,1,60431,-104.93,-0.17,0.93,222.69,0.37,-104.31,-0.17,3221.04,0.32,246
220,Exit long,2026-08-14 15:43,TP MID,30243.5,1,60403.5,82.57,0.14,0.93,83.19,0.14,-17.81,-0.03,3303.3,0.33,5
220,Entry long,2026-08-14 15:38,LONG,30201.75,1,60403.5,82.57,0.14,0.93,83.19,0.14,-17.81,-0.03,3303.3,0.33,5
